artist,album,genre,rank,year,reviewer,reviewer_url
(Sandy) Alex G,DSU,Indie Rock,167,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Nicki Minaj,The Pinkprint,Hip Hop,166,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jay Som,Everybody Works,Indie Rock,165,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Hop Along,Painted Shut,Indie Rock,164,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Meek Mill,Dreamchasers 2,Hip Hop,163,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sturgill Simpson,Metamodern Sounds in Country Music,Country,162,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The 1975,I Like it when you sleep...,Indie Pop,161,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Noname,Room 25,Hip Hop,160,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Pallbearer,Foundations of Burden,Metal,159,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sleigh Bells,Treats,Pop,158,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The 1975,A Brief Inquiry Into Online Relationships,Indie Pop,157,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jenny Lewis,The Voyager,Indie Rock,156,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
21 Savage / Metro Boomin,Savage Mode,Hip Hop,155,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Mica Levi,Under the Skin OST,Pop,154,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Purple Mountains,Purple Mountains,Indie,153,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Arctic Monkeys,AM,Indie Rock,152,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Lady Gaga,The Fame Monster,Pop,151,2009,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Playboi Carti,Playboi Carti,Hip Hop,150,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Mac DeMarco,2,Indie Rock,149,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Nicolas Jaar,Space Is Only Noise,Electronic,148,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The National,High Violet,Indie Rock,147,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sheer Mag,Compilation,Punk Rock,146,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Chief Keef,Finally Rich,Hip Hop,145,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
PJ Harvey,Let England Shake,Alt Rock,144,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Weyes Blood,Titanic Rising,Indie,143,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fennesz,Agora,Electronic,142,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Rick Ross,Rich Forever,Hip Hop,141,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Parquet Courts,Sunbathing Animal,Indie Rock,140,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Emeralds,Does It Look Like I'm Here?,Electronic,139,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Alabama Shakes,Sound & Color,Rock,138,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
A$AP Rocky,LIVE.LOVE.A$AP,Hip Hop,137,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tim Hecker,"Ravedeath, 1972",Electronic,136,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fleet Foxes,Helplessness Blues,Indie Folk,135,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
M83,"Hurry Up, We're Dreaming",Pop,134,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Frankie Cosmos,Zentropy,Indie Rock,133,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Amen Dunes,Freedom,Indie Rock,132,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Run the Jewels,Run the Jewels 2,Hip Hop,131,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tame Impala,Lonerism,Psychadelic Rock,130,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Various Artists,Bangs and Works Vol. 1: A Chicago Footwork Compilation,Hip Hop,129,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Radiohead,A Moon Shaped Pool,Rock,128,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Car Seat Headrest,Teens of Denial,Indie Rock,127,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Panda Bear,Tomboy,Indie,126,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Yves Tumor,Safe in the Hands of Love,Electronic,125,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Real Estate,Days,Indie,124,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Deafheaven,Sunbather,Metal,123,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Snail Mail,Lush,Indie Rock,122,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The Hotelier,"Home, Like Noplace Is There",Indie Rock,121,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
"Tyler, the Creator",Flower Boy,Hip Hop,120,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Girlpool,Before the World Was Big,Indie Rock,119,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Leonard Cohen,You Want It Darker,Folk,118,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Death Grips,The Money Store,Hip Hop,117,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Janelle Monae,The ArchAndroid,R&B,116,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
U.S. Girls,In a Poem Unlimited,Pop,115,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sampha,Process,Electronic,114,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Japandroids,Celebration Rock,Alt Rock,113,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Daft Punk,Random Access Memories,Electronic,112,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
EMA,Past Life Martyred Saints,Noise Rock,111,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Waka Flocka Flame,Flockaveli,Hip Hop,110,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Julia Holter,Aviary,Pop,109,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kaytranada,99.9%,Electronic,108,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Dirty Projectors,Swing Lo Magellan,Alt Indie,107,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Moses Sumney,Aromanticism,Soul/R&B,106,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Disclosure,Settle,House/Electronic,105,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Waxahatchee,Cerulean Salt,Indie Rock,104,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Helado Negro,This Is How You Smile,Folk,103,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jeremih,Late Nights: The Album,R&B,102,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Chromatics,Kill for Love,Indie Rock,101,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Ariana Grande,Sweetener,Pop,100,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bad Bunny,X 100PRE,Trap/Electronic,99,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Todd Terje,It's Album Time,Electronic,98,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The War on Drugs,Lost in the Dream,Indie Rock,97,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Low,Double Negative,Indie Rock,96,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jai Paul,Leak 04-13 (Bait Ones),Electronic,95,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Vampire Weekend,Contra,Indie Rock,94,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tirzah,Devotion,Alt Indie,93,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
JAY-Z & Kanye West,Watch the Throne,Hip Hop,92,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bon Iver,"22, A Million",Indie Folk,91,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Joyce Manor,Never Hungover Again,Indie Rock,90,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Caribou,Our Love,Electronic,89,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jenny Hval,"Apocalypse, girl",Electronic,88,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Rae Sremmurd,SremmLife,Hip Hop,87,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Haim,Days Are Gone,Rock,86,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jessica Pratt,On Your Own Love Again,Folk,85,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Chance the Rapper,Acid Rap,Hip Hop,84,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Burial,Rival Dealer,Dubstep/Electronic,83,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Girls,"Father, Son, Holy Ghost",Indie Rock,82,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Solange,When I Get Home,R&B,81,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Aphex Twin,Syro,Electronic,80,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tame Impala,Currents,Psychadelic Rock,79,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kurt Vile,Smoke Ring for My Halo,Indie Rock,78,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Four Tet,There Is Love in You,Electronic,77,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Arcade Fire,The Suburbs,Indie Rock,76,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The Weeknd,House of Balloons,R&B,75,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,Pop,74,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Cardi B,Invasion of Privacy,Hip Hop,73,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Father John Misty,"I Love You, Honeybear",Indie Folk,72,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Robyn,Honey,Pop,71,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Perfume Genius,No Shape,Indie Pop,70,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Drake,"If You're Reading This, It's Too Late",Hip Hop,69,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Flying Lotus,Cosmogramma,Electronic,68,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",Indie Rock,67,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fever Ray,Plunge,Pop,66,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Future,Dirty Sprite 2,Hip Hop,65,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Mitski,Be the Cowboy,Indie Rock,64,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Danny Brown,XXX,Hip Hop,63,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Grouper,Ruins,Ambient,62,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Arca,Arca,Electronic,61,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
King Krule,The OOZ,Hip Hop,60,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Taylor Swift,Red,Pop,59,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kamasi Washington,The Epic,Jazz,58,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kendrick Lamar,DAMN.,Hip Hop,57,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bjork,Vulnicura,Pop,56,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
St. Vincent,Strange Mercy,Rock,55,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Young Thug,Barter 6,Hip Hop,54,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jlin,Black Origami,Electronic,53,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
LCD Soundsystem,This Is Happening,Rock/Electronic,52,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
DJ Koze,Knock Knock,Electronic,51,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Grimes,Visions,Electronic,50,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Oneohtrix Point Never,Replica,Electronic,49,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
ANOHNI,Hopelessness,Pop,48,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Carly Rae Jepsen,EMOTION,Pop,47,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The Knife,Shaking the Habitual,Electronic,46,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Mount Eerie,A Crow Looked at Me,Alt Indie,45,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
A Tribe Called Quest,We Got It From Here... Thank You 4 Your Service,Hip Hop,44,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sky Ferreira,"Night Time, My Time",Pop,43,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Erykah Badu,New Amerykah Part Two: Return of the Ankh,R&B,42,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Beyonce,Lemonade,Pop,41,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Charli XCX,Pop 2,Pop,40,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bill Callahan,Apocalypse,Lo-Fi/Electronic,39,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tierra Whack,Whack World,Hip Hop,38,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
David Bowie,Blackstar,Rock,37,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Rosalia,El Mal Querer,Latin,36,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Blood Orange,Cupid Deluxe,Electronic,35,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Vince Staples,Summertime '06,Hip Hop,34,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Big Thief,U.F.O.F.,Indie Rock,33,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bon Iver,Bon Iver,Indie Folk,32,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Beyonce,4,Pop,31,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Mitski,Puberty 2,Indie Rock,30,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Deerhunter,Halcyon Digest,Alt Indie,29,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
FKA twigs,LP1,Electronic,28,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Earl Sweatshirt,Some Rap Songs,Hip Hop,27,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Angel Olsen,Burn Your Fire for No Witness,Indie Folk,26,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jamie xx,In Colour,Electronic,25,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
SZA,CTRL,R&B,24,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kacey Musgraves,Golden Hour,Country,23,2018,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Destroyer,Kaputt,Indie Rock,22,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Beach House,Teen Dream,Indie Pop,21,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
DJ Rashad,Double Cup,Electronic,20,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Lana Del Rey,Norman Fucking Rockwell!,Pop,19,2019,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kendrick Lamar,"good kid, m.A.A.d city",Hip Hop,18,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sufjan Stevens,Carrie & Lowell,Indie Folk,17,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Joanna Newsom,Have One On Me,Indie Folk,16,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kanye West,Yeezus,Hip Hop,15,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Lorde,Melodrama,Pop,14,2017,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Drake,Take Care,Hip Hop,13,2011,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Rihanna,ANTI,Pop,12,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Grimes,Art Angels,Electronic,11,2015,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Frank Ocean,Channel ORANGE,R&B,10,2012,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
D'Angelo and the Vanguard,Black Messiah,R&B,9,2014,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Robyn,Body Talk,Pop,8,2010,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Vampire Weekend,Modern Vampires of the City,Indie Rock,7,2013,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Solange,A Seat at the Table,R&B,6,2016,Pitchfork,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
